Latitude,Longitude,Flood
29.7,-95.6,2.29
29.7,-95.5,2.06
29.7,-95.5,1.84
29.7,-95.5,1.65
29.7,-95.4,1.65
29.7,-95.3,1.62
29.7,-95.3,1.51
29.7,-95.3,1.49
29.7,-95.2,2.21
29.8,-95.6,2.17
29.8,-95.5,2
29.8,-95.5,1.79
29.8,-95.5,1.56
29.8,-95.4,1.68
29.8,-95.3,1.62
29.8,-95.3,1.4
29.8,-95.3,1.82
29.8,-95.2,2.2
29.8,-95.6,2.32
29.8,-95.5,2.31
29.8,-95.5,1.95
29.8,-95.5,1.99
29.8,-95.4,1.9
29.8,-95.3,1.79
29.8,-95.3,1.67
29.8,-95.3,1.43
29.8,-95.2,2.89
29.9,-95.6,2.69
29.9,-95.5,2.43
29.9,-95.5,2.12
29.9,-95.5,2.19
29.9,-95.4,2.11
29.9,-95.3,2.1
29.9,-95.3,1.94
29.9,-95.3,1.94
29.9,-95.2,3.6
29.9,-95.6,2.81
29.9,-95.5,2.8
29.9,-95.5,2.51
29.9,-95.5,2.33
29.9,-95.4,2.28
29.9,-95.3,2.24
29.9,-95.3,2.29
29.9,-95.3,2.24
29.9,-95.2,4.42
29.9,-95.6,3.04
29.9,-95.5,2.88
29.9,-95.5,2.62
29.9,-95.5,2.66
29.9,-95.4,2.39
29.9,-95.3,2.23
29.9,-95.3,2.61
29.9,-95.3,2.44
29.9,-95.2,5.22
30,-95.6,3.23
30,-95.5,3.01
30,-95.5,2.81
30,-95.5,2.85
30,-95.4,2.78
30,-95.3,2.84
30,-95.3,2.89
30,-95.3,2.83
30,-95.2,5.7
29.7,-98,10.7
29.7,-98,11.3
29.7,-97.9,11.8
29.7,-97.8,11.5
29.7,-97.8,8.72
29.7,-97.8,8
29.7,-97.7,8.26
29.7,-97.7,7.53
29.7,-97.6,6.32
29.7,-97.5,8.27
29.7,-97.5,7.89
29.7,-97.5,7.09
29.7,-97.4,7.06
29.7,-97.3,7.42
29.7,-97.3,6.81
29.7,-97.3,6.05
29.7,-97.2,6.09
29.7,-97.2,6.32
29.7,-97.1,7.48
29.7,-97,7.32
29.7,-97,5.74
29.7,-97,5.27
29.7,-96.9,6.55
29.7,-96.8,5.93
29.7,-96.8,6.84
29.7,-96.8,6.75
29.7,-96.7,6.01
29.7,-96.7,5.6
29.7,-96.6,5.41
29.7,-96.5,4.13
29.7,-96.5,3.97
29.7,-96.5,5.39
29.7,-96.4,5.93
29.7,-96.3,5.2
29.7,-96.3,5.34
29.7,-96.3,5.33
29.7,-96.2,5.14
29.7,-96.2,5.08
29.7,-96.1,4.05
29.7,-96,4.27
29.7,-96,4.53
29.7,-96,4.11
29.7,-95.9,4.29
29.7,-95.8,3.92
29.7,-95.8,3.43
29.7,-95.8,2.85
29.7,-95.7,2.68
29.7,-95.7,2.47
29.7,-95.2,2.94
29.7,-95.1,3.69
29.7,-95,4.36
29.7,-95,3.98
29.7,-95,5.53
29.7,-94.9,6.2
29.7,-94.8,6.48
29.7,-94.8,7.13
29.7,-94.8,7.71
29.7,-94.7,7.57
29.7,-94.7,7.51
29.7,-94.6,7.39
29.7,-94.5,7.16
29.7,-94.5,7.03
29.7,-94.5,6.24
29.7,-94.4,5.61
29.7,-94.3,4.92
29.7,-94.3,4.18
29.7,-94.3,3.63
29.7,-94.2,3.35
29.7,-94.2,3.08
29.7,-94.1,2.93
29.7,-94,2.76
29.7,-94,2.5
29.8,-98,9.86
29.8,-98,8.91
29.8,-97.9,9.72
29.8,-97.8,9.44
29.8,-97.8,8.87
29.8,-97.8,8.65
29.8,-97.7,8.92
29.8,-97.7,7.18
29.8,-97.6,6.71
29.8,-97.5,7.47
29.8,-97.5,9.54
29.8,-97.5,7.8
29.8,-97.4,7.21
29.8,-97.3,8.2
29.8,-97.3,6.63
29.8,-97.3,5.8
29.8,-97.2,6.91
29.8,-97.2,6.87
29.8,-97.1,6.5
29.8,-97,7.52
29.8,-97,6.88
29.8,-97,5.97
29.8,-96.9,6.76
29.8,-96.8,5.9
29.8,-96.8,7.23
29.8,-96.8,6.43
29.8,-96.7,6.18
29.8,-96.7,4.68
29.8,-96.6,4.89
29.8,-96.5,4.08
29.8,-96.5,4.09
29.8,-96.5,6.14
29.8,-96.4,5.68
