name,lat,lng,class,flowinfo,url
"USGS 08171300 Blanco Rv nr Kyle, TX",29.97938297,-97.91000510,0,"Discharge: 0.00 cfs;Stage: 2.97 ft;Adj. stage: 623.09 ft;Date: 2019-09-21 13:45:00;Class: Not-ranked;% normal(median): 0.00%;% normal(mean): 0.00%;",https://waterdata.usgs.gov/tx/nwis/uv?site_no=08171300
"USGS 08059590 Wilson Ck Dws of Hwy 75 at McKinney, TX",33.18485000,-96.63805000,0,"Discharge: 0.49 cfs;Stage: 2.67 ft;Adj. stage: 537.87 ft;Date: 2019-09-21 13:30:00;Class: Not-ranked;% normal(median): 3.92%;% normal(mean): 0.64%;",https://waterdata.usgs.gov/tx/nwis/uv?site_no=08059590
"USGS 08030500 Sabine Rv nr Ruliff, TX",30.30381684,-93.74377840,4,"Discharge: 21300 cfs;Date: 2019-09-21 12:45:00;Stage: 24.55 ft;Adj. stage: 18.63 ft;Date (stage): 2019-09-21 13:45:00;Percentile: 92.98 %;Class: Above flood stage;% normal(median): 474.39%;% normal(mean): 272.34%;",https://waterdata.usgs.gov/tx/nwis/uv?site_no=08030500
"USGS 08143000 Lk Brownwood nr Brownwood, TX",31.83709365,-99.00394200,0,"Stage: 1422.33 ft;Adj. stage: 1422.33 ft;Date (stage): 2019-09-21 13:30:00;Class: Not-ranked;",https://waterdata.usgs.gov/tx/nwis/uv?site_no=08143000
"USGS 08070500 Caney Ck nr Splendora, TX",30.25965789,-95.30243610,6,"Discharge: 360 cfs;Stage: 6.20 ft;Adj. stage: 124.64 ft;Date: 2019-09-21 13:30:00;Percentile: 95.48 %;Class: 95-98;% normal(median): 1333.33%;% normal(mean): 437.00%;",https://waterdata.usgs.gov/tx/nwis/uv?site_no=08070500
"USGS 08056000 Elm Fk Trinity Rv at Frasier Dam, Dallas, TX",32.84207200,-96.89000380,0,"Stage: 408.13 ft;Adj. stage: 408.13 ft;Date (stage): 2019-09-21 13:15:00;Class: Not-ranked;",https://waterdata.usgs.gov/tx/nwis/uv?site_no=08056000
"USGS 08043000 Bridgeport Res abv Bridgeport, TX",33.22289269,-97.83197990,0,"Stage: 832.76 ft;Adj. stage: 832.76 ft;Date (stage): 2019-09-21 13:00:00;Class: Not-ranked;",https://waterdata.usgs.gov/tx/nwis/uv?site_no=08043000
"USGS 08104900 S Fk San Gabriel Rv at Georgetown, TX",30.62574990,-97.69112040,5,"Discharge: 0.96 cfs;Stage: 1.44 ft;Adj. stage: 689.16 ft;Date: 2019-09-21 13:45:00;Percentile: 19.09 %;Class: <95;% normal(median): 9.60%;% normal(mean): 1.89%;",https://waterdata.usgs.gov/tx/nwis/uv?site_no=08104900
"USGS 08099100 Leon Rv nr De Leon, TX",32.17375020,-98.53310580,8,"Discharge: 0.00 cfs;Stage: 0.06 ft;Adj. stage: 1209.99 ft;Date: 2019-09-21 13:30:00;Class: Not-ranked;% normal(median): 0.00%;% normal(mean): 0.00%;",https://waterdata.usgs.gov/tx/nwis/uv?site_no=08099100
"USGS 08171350 Blanco Rv at San Marcos, TX",29.87951110,-97.91075280,8,"Discharge: 1.05 cfs;Stage: 7.36 ft;Adj. stage: 550.33 ft;Date: 2019-09-21 13:40:00;Class: Not-ranked;% normal(median): 39.47%;% normal(mean): 8.05%;",https://waterdata.usgs.gov/tx/nwis/uv?site_no=08171350
