Latitude Longitude Flood

2.969999999999999929e+01 -9.559999999999999432e+01 2.285013309479779700e-19
2.969999999999999929e+01 -9.554999999999999716e+01 2.056604450824928377e-19
2.969999999999999929e+01 -9.550000000000000000e+01 1.840042707929278477e-19
2.969999999999999929e+01 -9.545000000000000284e+01 1.650519878855010444e-19
2.969999999999999929e+01 -9.540000000000000568e+01 1.647055356180389164e-19
2.969999999999999929e+01 -9.534999999999999432e+01 1.624831119646638938e-19
2.969999999999999929e+01 -9.529999999999999716e+01 1.507226348138768861e-19
2.969999999999999929e+01 -9.525000000000000000e+01 1.494838531606792580e-19
2.969999999999999929e+01 -9.520000000000000284e+01 2.205891222867229971e-19
2.975000000000000000e+01 -9.559999999999999432e+01 2.173466106737261453e-19
2.975000000000000000e+01 -9.554999999999999716e+01 1.996951350203520133e-19
2.975000000000000000e+01 -9.550000000000000000e+01 1.787585932982426109e-19
2.975000000000000000e+01 -9.545000000000000284e+01 1.562390165383954646e-19
2.975000000000000000e+01 -9.540000000000000568e+01 1.680354213411350688e-19
2.975000000000000000e+01 -9.534999999999999432e+01 1.620358615098237502e-19
2.975000000000000000e+01 -9.529999999999999716e+01 1.398951617330065419e-19
2.975000000000000000e+01 -9.525000000000000000e+01 1.816912427712120430e-19
2.975000000000000000e+01 -9.520000000000000284e+01 2.197504150043268591e-19
2.980000000000000071e+01 -9.559999999999999432e+01 2.322395861185054190e-19
2.980000000000000071e+01 -9.554999999999999716e+01 2.309198785079486337e-19
2.980000000000000071e+01 -9.550000000000000000e+01 1.945358598656455319e-19
2.980000000000000071e+01 -9.545000000000000284e+01 1.993244914787075055e-19
2.980000000000000071e+01 -9.540000000000000568e+01 1.898418726288630032e-19
2.980000000000000071e+01 -9.534999999999999432e+01 1.792251652837563558e-19
2.980000000000000071e+01 -9.529999999999999716e+01 1.673186434215821500e-19
2.980000000000000071e+01 -9.525000000000000000e+01 1.426807937305642530e-19
2.980000000000000071e+01 -9.520000000000000284e+01 2.886276990146137523e-19
2.985000000000000142e+01 -9.559999999999999432e+01 2.686977268375673123e-19
2.985000000000000142e+01 -9.554999999999999716e+01 2.434669754642129776e-19
2.985000000000000142e+01 -9.550000000000000000e+01 2.118212997710956122e-19
2.985000000000000142e+01 -9.545000000000000284e+01 2.190244407172091195e-19
2.985000000000000142e+01 -9.540000000000000568e+01 2.113108504089246777e-19
2.985000000000000142e+01 -9.534999999999999432e+01 2.095553188674511117e-19
2.985000000000000142e+01 -9.529999999999999716e+01 1.943527233499538855e-19
2.985000000000000142e+01 -9.525000000000000000e+01 1.943296866181853839e-19
2.985000000000000142e+01 -9.520000000000000284e+01 3.601411943317271016e-19
2.989999999999999858e+01 -9.559999999999999432e+01 2.806908770356160872e-19
2.989999999999999858e+01 -9.554999999999999716e+01 2.797725118954309374e-19
2.989999999999999858e+01 -9.550000000000000000e+01 2.509946727572483615e-19
2.989999999999999858e+01 -9.545000000000000284e+01 2.333060504782212278e-19
2.989999999999999858e+01 -9.540000000000000568e+01 2.280576804594509572e-19
2.989999999999999858e+01 -9.534999999999999432e+01 2.236543753073644005e-19
2.989999999999999858e+01 -9.529999999999999716e+01 2.288865033208426628e-19
2.989999999999999858e+01 -9.525000000000000000e+01 2.242265233301068916e-19
2.989999999999999858e+01 -9.520000000000000284e+01 4.424722754092698685e-19
2.994999999999999929e+01 -9.559999999999999432e+01 3.036656814373792500e-19
2.994999999999999929e+01 -9.554999999999999716e+01 2.882448514878079203e-19
2.994999999999999929e+01 -9.550000000000000000e+01 2.619182562882844092e-19
2.994999999999999929e+01 -9.545000000000000284e+01 2.664096873303564568e-19
