name,lat,lng,class,flowinfo,url
"USGS 08068800 Cypress Ck at Grant Rd nr Cypress, TX",29.97355566,-95.59855450,0,"Discharge: 15.13 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 71.13%;% normal(mean): 10.47%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08068800
"USGS 08041700 Pine Island Bayou nr Sour Lake, TX",30.10604640,-94.33463240,4,"Discharge: 24.50 cfs;Date: 2019-08-31;Percentile: 24.90 %;Class: Below normal;% normal(median): 66.70%;% normal(mean): 8.05%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08041700
"USGS 08143600 Pecan Bayou nr Mullin, TX",31.51738610,-98.74060300,4,"Discharge: 2.77 cfs;Date: 2019-08-31;Percentile: 23.05 %;Class: Below normal;% normal(median): 30.11%;% normal(mean): 5.17%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08143600
"USGS 08062895 Kings Ck at SH 34 nr Kaufman, TX",32.55611110,-96.33888890,0,"Discharge: 9.60 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 144.14%;% normal(mean): 43.96%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08062895
"USGS 08208000 Atascosa Rv at Whitsett, TX",28.62220899,-98.28139880,2,"Discharge: 0.00 cfs;Date: 2019-08-31;Percentile: 1.15 %;Class: Much below normal;% normal(median): 0.00%;% normal(mean): 0.00%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08208000
"USGS 08100000 Leon Rv nr Hamilton, TX",31.78876325,-98.12142380,5,"Discharge: 16.14 cfs;Date: 2019-08-31;Percentile: 47.28 %;Class: Normal;% normal(median): 87.62%;% normal(mean): 11.11%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08100000
"USGS 08068275 Spring Ck nr Tomball, TX",30.11993899,-95.64605590,0,"Discharge: 5.42 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 104.23%;% normal(mean): 2.94%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08068275
"USGS 08056500 Turtle Ck at Dallas, TX",32.80735055,-96.80250130,5,"Discharge: 3.45 cfs;Date: 2019-08-31;Percentile: 43.46 %;Class: Normal;% normal(median): 88.24%;% normal(mean): 58.67%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08056500
"USGS 08065350 Trinity Rv nr Crockett, TX",31.33851319,-95.65634070,5,"Discharge: 1260.32 cfs;Date: 2019-08-31;Percentile: 52.59 %;Class: Normal;% normal(median): 105.52%;% normal(mean): 61.30%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08065350
"USGS 08171000 Blanco Rv at Wimberley, TX",29.99438080,-98.08889800,5,"Discharge: 54.86 cfs;Date: 2019-08-31;Percentile: 59.91 %;Class: Normal;% normal(median): 134.33%;% normal(mean): 98.19%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08171000
"USGS 08164450 Sandy Ck nr Ganado, TX",29.16025390,-96.54636080,5,"Discharge: 14.57 cfs;Date: 2019-08-31;Percentile: 30.50 %;Class: Normal;% normal(median): 44.25%;% normal(mean): 15.72%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08164450
"USGS 08025500 Bayou Toro near Toro, LA",31.30712737,-93.51572950,5,"Discharge: 21.04 cfs;Date: 2019-08-31;Percentile: 70.38 %;Class: Normal;% normal(median): 181.85%;% normal(mean): 50.54%;",https://waterdata.usgs.gov/la/nwis/dv?site_no=08025500
